Attack,Host,Run,Mode,CPU Temperature (°C),CPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,30.0,2.64391,Denial of Service,System,03:34:28.028
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,30.0,2.65176,Denial of Service,System,03:34:29.259
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.8,25.0,2.64621,Denial of Service,System,03:34:30.486
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.8,22.2,2.64326,Denial of Service,System,03:34:31.721
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,22.2,2.64045,Denial of Service,System,03:34:32.950
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,22.2,2.63435,Denial of Service,System,03:34:34.184
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.8,22.2,2.64351,Denial of Service,System,03:34:35.413
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,30.0,2.6372,Denial of Service,System,03:34:36.652
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.8,30.0,2.639,Denial of Service,System,03:34:37.883
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,45.2,30.0,2.64921,Denial of Service,System,03:34:39.111
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,22.2,2.65476,Denial of Service,System,03:34:40.350
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.8,30.0,2.65616,Denial of Service,System,03:34:41.577
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,12.5,2.65596,Denial of Service,System,03:34:42.808
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,30.0,2.65041,Denial of Service,System,03:34:44.041
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,22.2,2.62625,Denial of Service,System,03:34:45.269
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,22.2,2.6294,Denial of Service,System,03:34:46.501
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,22.2,2.62635,Denial of Service,System,03:34:47.730
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.8,30.0,2.6406,Denial of Service,System,03:34:48.958
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.8,22.2,2.6356,Denial of Service,System,03:34:50.197
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,45.2,22.2,2.63245,Denial of Service,System,03:34:51.424
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,33.3,2.6419,Denial of Service,System,03:34:52.656
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,25.0,2.6344,Denial of Service,System,03:34:53.887
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,25.0,2.64811,Denial of Service,System,03:34:55.119
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,22.2,2.65016,Denial of Service,System,03:34:56.352
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,45.2,30.0,2.64996,Denial of Service,System,03:34:57.580
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,22.2,2.65331,Denial of Service,System,03:34:58.805
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,44.3,22.2,2.64741,Denial of Service,System,03:35:00.033
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,44.8,22.2,2.66241,Denial of Service,System,03:35:01.269
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,45.7,50.0,2.65821,Denial of Service,System,03:35:02.461
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,44.8,0.0,2.69277,Denial of Service,System,03:35:03.653
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,46.2,25.0,2.66891,Denial of Service,System,03:35:04.846
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,45.7,40.0,2.68542,Denial of Service,System,03:35:06.038
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,45.2,37.5,2.68937,Denial of Service,System,03:35:07.266
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Attack,46.2,28.6,2.66511,Denial of Service,System,03:35:08.497
