Attack,Host,Run,Mode,CPU Power (W),CPU Temperature (°C),CPU Usage (%),GPU Memory Usage (%),GPU Temperature (°C),GPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp,CPU Graphics Power (W),CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Power Cores (W)
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.7,55.0,6.8,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:02:04.000,0.0,50.0,50.0,48.0,48.0,11.8
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,18.2,55.0,5.9,2.4,0.0,0.0,56.1,Cryptojacking,Open Hardware Monitor,08:02:06.000,0.0,50.0,50.0,49.0,50.0,14.2
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.5,55.0,4.9,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:02:08.000,0.0,49.0,50.0,50.0,49.0,11.8
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.8,55.0,5.5,2.4,54.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:02:10.000,0.1,49.0,49.0,50.0,49.0,12.0
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.4,62.0,6.2,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:02:12.000,0.1,56.0,56.0,53.0,55.0,11.4
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.4,64.0,5.1,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:02:14.000,0.0,47.0,51.0,48.0,49.0,10.5
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,16.7,59.0,6.6,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:02:16.000,0.0,50.0,50.0,51.0,48.0,12.9
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,16.6,58.0,5.8,2.4,0.0,0.0,56.1,Cryptojacking,Open Hardware Monitor,08:02:18.000,0.1,58.0,51.0,50.0,49.0,12.5
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.8,54.0,6.0,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:02:20.000,0.0,49.0,49.0,49.0,48.0,10.9
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,16.0,54.0,7.0,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:02:22.000,0.0,48.0,50.0,50.0,48.0,12.1
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.4,58.0,6.1,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:02:24.000,0.1,53.0,58.0,49.0,52.0,11.7
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,16.0,54.0,6.3,2.4,0.0,0.0,55.9,Cryptojacking,Open Hardware Monitor,08:02:26.000,0.0,49.0,50.0,49.0,49.0,11.9
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.1,63.0,5.1,2.4,0.0,0.0,55.9,Cryptojacking,Open Hardware Monitor,08:02:28.000,0.0,49.0,63.0,48.0,51.0,11.2
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,16.2,54.0,5.5,2.4,0.0,0.0,55.9,Cryptojacking,Open Hardware Monitor,08:02:30.000,0.0,47.0,50.0,48.0,50.0,12.3
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.4,54.0,5.2,2.4,54.0,0.0,55.9,Cryptojacking,Open Hardware Monitor,08:02:32.000,0.1,48.0,50.0,49.0,50.0,11.5
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.4,55.0,5.9,2.4,0.0,0.0,55.9,Cryptojacking,Open Hardware Monitor,08:02:34.000,0.0,48.0,49.0,49.0,48.0,10.6
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,10.5,54.0,2.3,2.4,0.0,0.0,55.9,Cryptojacking,Open Hardware Monitor,08:02:36.000,0.1,50.0,53.0,50.0,52.0,6.6
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.0,62.0,6.2,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:02:38.000,0.0,62.0,50.0,53.0,50.0,11.2
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.8,55.0,5.2,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:02:40.000,0.0,49.0,49.0,49.0,49.0,10.7
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,17.5,55.0,5.5,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:02:42.000,0.0,50.0,50.0,48.0,50.0,13.5
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.3,60.0,6.6,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:02:44.000,0.1,60.0,50.0,52.0,49.0,11.4
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,16.8,54.0,5.2,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:02:46.000,0.0,48.0,50.0,50.0,48.0,12.9
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.6,54.0,6.2,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:02:48.000,0.1,47.0,50.0,48.0,48.0,10.5
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.5,54.0,5.9,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:02:50.000,0.0,48.0,49.0,48.0,50.0,10.7
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.8,55.0,6.6,2.4,54.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:02:52.000,0.1,47.0,51.0,48.0,49.0,10.8
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.7,62.0,4.9,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:02:54.000,0.0,47.0,64.0,48.0,52.0,10.8
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.6,62.0,5.2,2.4,0.0,0.0,56.1,Cryptojacking,Open Hardware Monitor,08:02:56.000,0.1,49.0,51.0,50.0,50.0,11.5
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.2,58.0,5.9,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:02:58.000,0.0,47.0,50.0,48.0,49.0,10.4
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.1,54.0,5.1,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:03:00.000,0.0,47.0,50.0,48.0,48.0,11.2
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.7,61.0,6.9,2.4,0.0,0.0,56.0,Cryptojacking,Open Hardware Monitor,08:03:02.000,0.0,48.0,51.0,51.0,50.0,10.9
